"","Agency.Name","State.Name","Total.General.Revenue","Number.Public.Schools","leaid11","County.Name","Full.Time.Teachers","Pupil.Teacher.Ratio","Total.Students"
"11703","OAK LAWN-HOMETOWN SD 123","Illinois",42516000,6,1729190,"COOK COUNTY",205.92,14.85,3057
"11704","OAK LEADERSHIP INSTITUTE","Ohio",511000,1,3901439,"CUYAHOGA COUNTY",4,14.25,57
"11705","OAK PARK - RIVER FOREST SD 200","Illinois",85389000,1,1729280,"COOK COUNTY",198.48,16.49,3273
"11706","OAK PARK ESD 97","Illinois",93757000,10,1729250,"COOK COUNTY",402.7,13.98,5631
"11707","OAK PARK SCHOOL DISTRICT OF THE CITY OF","Michigan",50819000,7,2626190,"OAKLAND COUNTY",187,22.28,4167
"11708","OAK PARK UNIFIED","California",40677000,7,627850,"VENTURA COUNTY",173.5,24.22,4202
"11709","OAK RIDGE","Tennessee",56279000,8,4703240,"ANDERSON COUNTY",367.7,12.89,4738
"11710","OAK RIDGE R-VI","Missouri",3556000,2,2923070,"CAPE GIRARDEAU COUNTY",29.26,11.35,332
"11711","OAK RUN ELEMENTARY","California",409000,1,627870,"SHASTA COUNTY",1.5,12,18
"11712","OAK VALLEY UNION ELEMENTARY","California",3328000,1,627900,"TULARE COUNTY",19,22.74,432
"11713","OAK VIEW UNION ELEMENTARY","California",3256000,1,627930,"SAN JOAQUIN COUNTY",19.8,20.71,410
"11714","OAKDALE","Oklahoma",6106000,1,4022350,"OKLAHOMA COUNTY",34,17.32,589
"11715","OAKDALE CCSD 1","Illinois",830000,1,1729310,"WASHINGTON COUNTY",7.6,9.61,73
"11716","OAKDALE JOINT UNIFIED","California",47512000,9,600062,"STANISLAUS COUNTY",233.04,22.87,5330
"11717","OAKES 41","North Dakota",5941000,2,3814500,"DICKEY COUNTY",34.3,14.46,496
"11718","OAKESDALE SCHOOL DISTRICT","Washington",2466000,2,5305970,"WHITMAN COUNTY",11.98,8.18,98
"11719","OAKFIELD SCHOOL DISTRICT","Wisconsin",7085000,2,5510860,"FOND DU LAC COUNTY",39.39,12.97,511
"11720","OAKFIELD-ALABAMA CENTRAL SCHOOL DISTRICT","New York",18186000,2,3621510,"GENESEE COUNTY",85.06,10.31,877
"11721","OAKLAND ACADEMY","Michigan",1697000,1,2600184,"KALAMAZOO COUNTY",22.3,9.42,210
"11722","OAKLAND BOARD OF EDUCATION","New Jersey",29519000,4,3411910,"BERGEN COUNTY",122.7,13.91,1707
"11723","OAKLAND CRAIG PUBLIC SCHOOLS","Nebraska",5084000,3,3174640,"BURT COUNTY",37.44,11.97,448
"11724","OAKLAND CUSD 5","Illinois",4423000,2,1729340,"COLES COUNTY",25,12.08,302
"11725","OAKLAND INTERNATIONAL ACADEMY","Michigan",6779000,3,2600217,"WAYNE COUNTY",37.2,18.58,691
"11726","OAKLAND SCHOOLS","Michigan",272991000,NA,2680880,"OAKLAND COUNTY",102.56,NA,NA
"11727","OAKLAND SD 1","Oregon",5557000,3,4109120,"DOUGLAS COUNTY",29.5,18.2,537
"11728","OAKLAND UNIFIED","California",556623000,134,628050,"ALAMEDA COUNTY",2096.56,22.12,46377
"11729","OAKLEY","Kansas",5110000,3,2010050,"LOGAN COUNTY",40.9,11.71,479
"11730","OAKLEY UNION ELEMENTARY","California",37552000,7,628080,"CONTRA COSTA COUNTY",187.4,24.85,4656
"11731","OAKLYN PUBLIC SCHOOL","New Jersey",8108000,1,3411940,"CAMDEN COUNTY",40.5,11.58,469
"11732","OAKRIDGE PUBLIC SCHOOLS","Michigan",18357000,6,2626220,"MUSKEGON COUNTY",96.47,19.34,1866
"11733","OAKRIDGE SD 76","Oregon",5850000,3,4109150,"LANE COUNTY",27.55,21.13,582
"11734","OAKS-MISSION","Oklahoma",3021000,2,4022410,"DELAWARE COUNTY",20.3,12.71,258
"11735","OAKSTONE COMMUNITY SCHOOL","Ohio",7175000,1,3900383,"FRANKLIN COUNTY",8.78,25.85,227
"11736","OAKVILLE SCHOOL DISTRICT","Washington",4189000,2,5306000,"GRAYS HARBOR COUNTY",20.99,13.34,280
"11737","OAKWOOD CITY","Ohio",26598000,5,3904458,"MONTGOMERY COUNTY",135.77,15.22,2066
"11738","OAKWOOD CUSD 76","Illinois",10582000,3,1710800,"VERMILION COUNTY",75,14.45,1084
"11739","OAKWOOD ISD","Texas",2689000,2,4833340,"LEON COUNTY",21.5,10.05,216
"11740","OBERLIN","Kansas",4577000,2,2010080,"DECATUR COUNTY",35.2,9.94,350
"11741","OBERLIN CITY SCHOOLS","Ohio",15225000,4,3904459,"LORAIN COUNTY",75.54,14.32,1082
"11742","OBERON 16","North Dakota",710000,1,3814520,"BENSON COUNTY",6.85,8.32,57
"11743","OBION COUNTY","Tennessee",32661000,8,4703270,"OBION COUNTY",263.2,14.4,3789
"11744","OBLONG CUSD 4","Illinois",6189000,2,1729420,"CRAWFORD COUNTY",46.11,13.6,627
"11745","OCEAN BEACH SCHOOL DISTRICT","Washington",13022000,4,5306060,"PACIFIC COUNTY",46.5,20.84,969
"11746","OCEAN CITY SCHOOL DISTRICT","New Jersey",44241000,3,3411970,"CAPE MAY COUNTY",183.2,11.32,2073
"11747","OCEAN COUNTY VOCATIONAL TECHNICAL SCHOOL","New Jersey",28791000,7,3411980,"OCEAN COUNTY",121.6,3.91,475
"11748","OCEAN GATE SCHOOL DISTRICT","New Jersey",3065000,1,3412030,"OCEAN COUNTY",18,8.83,159
"11749","OCEAN HILL COLLEGIATE CHARTER SCHOOL","New York",NA,1,3601032,"KINGS COUNTY",12,NA,NA
"11750","OCEAN SPRINGS SCHOOL DIST","Mississippi",44891000,7,2803360,"JACKSON COUNTY",375.1,14.65,5497
"11751","OCEAN TOWNSHIP SCHOOL DISTRICT","New Jersey",19321000,2,3412090,"OCEAN COUNTY",50.6,10.57,535
"11752","OCEAN VIEW","California",25145000,4,628170,"VENTURA COUNTY",115,22.45,2582
"11753","OCEAN VIEW","California",85772000,15,628140,"ORANGE COUNTY",393,24.07,9461
"11754","OCEANA INTERMEDIATE SCHOOL DISTRICT","Michigan",3904000,1,2680890,"OCEANA COUNTY",0,NA,103
"11755","OCEANPORT SCHOOL DISTRICT","New Jersey",11071000,2,3412120,"MONMOUTH COUNTY",54.4,11.93,649
"11756","OCEANSIDE CHARTER SCHOOL","New Jersey",6334000,1,3400011,"ATLANTIC COUNTY",0,NA,324
"11757","OCEANSIDE UNIFIED","California",193117000,25,628250,"SAN DIEGO COUNTY",844.82,24.84,20987
"11758","OCEANSIDE UNION FREE SCHOOL DISTRICT","New York",136122000,10,3621570,"NASSAU COUNTY",450.81,12.95,5836
"11759","OCONEE 01","South Carolina",121578000,19,4503060,"OCONEE COUNTY",761.7,13.85,10546
"11760","OCONEE COUNTY","Georgia",64455000,10,1303960,"OCONEE COUNTY",410.8,15.9,6531
"11761","OCONEE RESA","Georgia",3505000,NA,1300014,"WASHINGTON COUNTY",10,NA,NA
"11762","OCONOMOWOC AREA SCHOOL DISTRICT","Wisconsin",62657000,8,5510890,"WAUKESHA COUNTY",298.6,17.02,5081
"11763","OCONTO FALLS PUBLIC SCHOOL DISTRICT","Wisconsin",23348000,7,5510950,"OCONTO COUNTY",132.17,14.12,1866
"11764","OCONTO UNIFIED SCHOOL DISTRICT","Wisconsin",14909000,4,5510920,"OCONTO COUNTY",82.93,13.13,1089
"11765","OCOSTA SCHOOL DISTRICT","Washington",7710000,2,5306090,"GRAYS HARBOR COUNTY",43.08,15.58,671
"11766","OCTORARA AREA SD","Pennsylvania",45575000,4,4218030,"CHESTER COUNTY",139.01,18.58,2583
"11767","ODE HEAD START","Oregon",NA,NA,4100046,"MARION COUNTY",0,NA,0
"11768","ODE LTCT DISTRICT","Oregon",NA,NA,4100049,"MARION COUNTY",0,NA,257
"11769","ODE YCEP DISTRICT","Oregon",NA,9,4100043,"MARION COUNTY",0,NA,493
"11770","ODEBOLT-ARTHUR COMM SCHOOL DISTRICT","Iowa",5136000,2,1921600,"SAC COUNTY",26.57,13.25,352
"11771","ODELL CCSD 435","Illinois",2320000,1,1729520,"LIVINGSTON COUNTY",16.7,10.3,172
"11772","ODEM-EDROY ISD","Texas",11269000,3,4833360,"SAN PATRICIO COUNTY",78.05,13.8,1077
"11773","ODESSA R-VII","Missouri",20580000,4,2923100,"LAFAYETTE COUNTY",152.87,13.26,2027
"11774","ODESSA SCHOOL DISTRICT","Washington",3834000,2,5306120,"LINCOLN COUNTY",16.89,12.91,218
"11775","ODESSA-MONTOUR CENTRAL SCHOOL DISTRICT","New York",15780000,3,3621630,"SCHUYLER COUNTY",64.23,12,771
"11776","ODIN PSD 722","Illinois",3030000,2,1701404,"MARION COUNTY",26,11.73,305
"11777","ODYSSEY ACADEMY","Minnesota",3448000,1,2700151,"HENNEPIN COUNTY",24.07,10.84,261
"11778","ODYSSEY ACADEMY INC","Texas",6846000,1,4800108,"GALVESTON COUNTY",35.84,18.81,674
"11779","ODYSSEY CHARTER SCHOOL","Utah",1023000,1,4900021,"UTAH COUNTY",24.64,20.37,502
"11780","ODYSSEY CHARTER SCHOOL","Delaware",5214000,1,1000026,"NEW CASTLE COUNTY",40,12.5,500
"11781","ODYSSEY COMMUNITY SCHOOL DIST","Connecticut",1714000,1,900009,"HARTFORD COUNTY",26.35,11.92,314
"11782","OELRICHS SCHOOL DISTRICT 23-3","South Dakota",2248000,3,4652770,"FALL RIVER COUNTY",14.14,8.84,125
"11783","OELWEIN COMM SCHOOL DISTRICT","Iowa",17187000,5,1921630,"FAYETTE COUNTY",87.7,17.13,1502
"11784","OFFICE OF EDUCATION DEPARTMENT OF CHILDREN AND FAMILIES","New Jersey",NA,51,3400085,"MERCER COUNTY",206,0,0
"11785","OFFICE OF EDUCATION JUVENILE JUSTICE COMMISSION","New Jersey",NA,35,3400089,"MERCER COUNTY",149,NA,NA
"11786","OFFICE OF EDUCATIONAL SERVICES DEPARTMENT OF CORRECTIONS","New Jersey",NA,14,3400088,"MERCER COUNTY",106,NA,NA
"11787","OFFICE OF JUVENILE JUSTICE","Louisiana",4681000,3,2200047,"EAST BATON ROUGE PARISH",37.64,4.99,188
"11788","OFFICE OF THE GOVERNOR (SCH FOR BLIND)","Washington",NA,1,5300318,"CLARK COUNTY",0,NA,57
"11789","OGALLALA PUBLIC SCHOOLS","Nebraska",10794000,5,3174760,"KEITH COUNTY",76.5,11.75,899
"11790","OGDEN CITY DISTRICT","Utah",113143000,23,4900720,"WEBER COUNTY",568.89,22.46,12776
"11791","OGDEN COMM SCHOOL DISTRICT","Iowa",9694000,3,1921660,"BOONE COUNTY",57.1,11.86,677
"11792","OGDEN PREPARATORY ACADEMY","Utah",6189000,1,4900058,"WEBER COUNTY",47.15,22.08,1041
"11793","OGDENSBURG BOROUGH SCHOOL DISTRICT","New Jersey",5079000,1,3412150,"SUSSEX COUNTY",25.5,11.73,299
"11794","OGDENSBURG CITY SCHOOL DISTRICT","New York",32928000,5,3621660,"ST. LAWRENCE COUNTY",144.43,11.47,1656
"11795","OGILVIE PUBLIC SCHOOL DISTRICT","Minnesota",6981000,2,2723970,"KANABEC COUNTY",39.47,14.54,574
"11796","OGLE CO EDUCATION COOPERATIVE","Illinois",7692000,1,1700081,"OGLE COUNTY",18.86,NA,NA
"11797","OGLESBY ESD 125","Illinois",5953000,2,1729670,"LASALLE COUNTY",35.16,17.83,627
"11798","OGLESBY ISD","Texas",2253000,1,4833420,"CORYELL COUNTY",17.35,9.45,164
"11799","OGLETHORPE COUNTY","Georgia",22825000,4,1303990,"OGLETHORPE COUNTY",166.4,13.88,2309
"11800","OHIO & WABASH VALLEY REG VOC SYS","Illinois",725000,1,1700265,"WHITE COUNTY",0,NA,NA
"11801","OHIO CCSD 17","Illinois",1347000,1,1729700,"BUREAU COUNTY",12.5,6.16,77
"11802","OHIO CENTRAL SCHOOL SYSTEM","Ohio",NA,NA,3900238,"MADISON COUNTY",0,NA,NA
"11803","OHIO CHSD 505","Illinois",1023000,1,1729730,"BUREAU COUNTY",5.61,6.77,38
"11804","OHIO CONNECTIONS ACADEMY INC","Ohio",22054000,1,3900250,"CUYAHOGA COUNTY",74.38,39.73,2955
"11805","OHIO COUNTY","Kentucky",40049000,9,2104500,"OHIO COUNTY",248.13,16.88,4189
"11806","OHIO COUNTY SCHOOLS","West Virginia",69113000,13,5401050,"OHIO COUNTY",393.12,13.91,5469
"11807","OHIO HI-POINT CAREER CENTER","Ohio",14853000,2,3905133,"LOGAN COUNTY",64.12,0,0
"11808","OHIO SCHOOL FOR THE BLIND","Ohio",NA,2,3900002,"FRANKLIN COUNTY",25.2,4.8,121
"11809","OHIO SCHOOL FOR THE DEAF","Ohio",NA,3,3900001,"FRANKLIN COUNTY",26,4.92,128
"11810","OHIO VALLEY EDUCATIONAL COOPERATIVE","Kentucky",NA,NA,2100099,"SHELBY COUNTY",0,NA,NA
"11811","OHIO VALLEY ESC","Ohio",8077000,NA,3900014,"GUERNSEY COUNTY",69,0,0
"11812","OHIO VIRTUAL ACADEMY","Ohio",84013000,1,3900180,"LUCAS COUNTY",213,54.65,11640
"11813","OIL CITY AREA SD","Pennsylvania",28570000,6,4218090,"VENANGO COUNTY",139.1,15.36,2136
"11814","OILTON","Oklahoma",2538000,2,4022560,"CREEK COUNTY",20.1,14.78,297
"11815","OJAI UNIFIED","California",25906000,10,628270,"VENTURA COUNTY",114.16,25.71,2935
"11816","OJIBWE CHARTER SCHOOL","Michigan",1316000,1,2600285,"CHIPPEWA COUNTY",10,8.9,89
"11817","OKALOOSA","Florida",252094000,53,1201380,"OKALOOSA COUNTY",1870.62,15.71,29385
"11818","OKANOGAN SCHOOL DISTRICT","Washington",11681000,6,5306150,"OKANOGAN COUNTY",55.14,19.66,1084
"11819","OKARCHE","Oklahoma",3095000,3,4022590,"KINGFISHER COUNTY",25.2,10.99,277
"11820","OKAW AREA VOCATIONAL CENTER","Illinois",1134000,1,1700017,"FAYETTE COUNTY",0,NA,0
"11821","OKAW REGIONAL VOC SYSTEM","Illinois",886000,NA,1700292,"RANDOLPH COUNTY",0,NA,NA
"11822","OKAW VALLEY CUSD 302","Illinois",5683000,3,1700223,"MOULTRIE COUNTY",41.94,13.28,557
"11823","OKAY","Oklahoma",3669000,2,4022620,"WAGONER COUNTY",27.1,17.05,462
"11824","OKEECHOBEE","Florida",56764000,16,1201410,"OKEECHOBEE COUNTY",415.56,15.81,6568
"11825","OKEENE","Oklahoma",3942000,3,4022650,"BLAINE COUNTY",22.4,14.42,323
"11826","OKEFENOKEE RESA","Georgia",3136000,1,1300021,"WARE COUNTY",13,NA,NA
"11827","OKEMAH","Oklahoma",9002000,4,4006850,"OKFUSKEE COUNTY",63,14.98,944
"11828","OKEMOS PUBLIC SCHOOLS","Michigan",49990000,7,2626280,"INGHAM COUNTY",220.01,17.62,3877
"11829","OKLAHOMA CITY","Oklahoma",466306000,93,4022770,"OKLAHOMA COUNTY",2567,16.83,43212
"11830","OKLAHOMA SCHOOL FOR THE BLIND","Oklahoma",NA,2,4000076,"MUSKOGEE COUNTY",0,NA,92
"11831","OKLAHOMA SCHOOL FOR THE DEAF","Oklahoma",NA,2,4000075,"MURRAY COUNTY",0,NA,155
"11832","OKLAHOMA UNION","Oklahoma",5735000,3,4000021,"NOWATA COUNTY",45.4,14.74,669
"11833","OKLEE PUBLIC SCHOOL DISTRICT","Minnesota",2707000,2,2724030,"RED LAKE COUNTY",14.23,15.53,221
"11834","OKMULGEE","Oklahoma",14548000,4,4022800,"OKMULGEE COUNTY",108.2,14.59,1579
"11835","OKOBOJI COMM SCHOOL DISTRICT","Iowa",11661000,3,1900021,"DICKINSON COUNTY",75.06,12.68,952
"11836","OKOLONA SEPARATE SCHOOL DIST","Mississippi",7827000,3,2803390,"CHICKASAW COUNTY",48.88,13.5,660
"11837","OKTAHA","Oklahoma",6964000,2,4022830,"MUSKOGEE COUNTY",47,15.87,746
"11838","OKTIBBEHA COUNTY SCHOOL DISTRICT","Mississippi",10988000,4,2803420,"OKTIBBEHA COUNTY",76.38,12.48,953
"11839","OLATHE","Kansas",321643000,47,2010140,"JOHNSON COUNTY",1974,14.28,28182
"11840","OLD ADOBE UNION","California",15777000,4,628320,"SONOMA COUNTY",61.7,27.84,1718
"11841","OLD BRIDGE TOWNSHIP SCHOOL DISTRICT","New Jersey",154755000,15,3409270,"MONMOUTH COUNTY",684,13.45,9197
"11842","OLD COLONY REGIONAL VOCATIONAL TECHNICAL","Massachusetts",10855000,1,2509140,"PLYMOUTH COUNTY",50.91,11.24,572
"11843","OLD DOM JOB CORP","Virginia",NA,NA,5100253,"AMHERST COUNTY",0,NA,NA
"11844","OLD FORGE SD","Pennsylvania",11543000,2,4218120,"LACKAWANNA COUNTY",66.75,14.07,939
"11845","OLD FORT LOCAL","Ohio",5349000,2,3910021,"SENECA COUNTY",33.36,14.09,470
"11846","OLD NATIONAL TRAIL SPEC SERV COOP","Indiana",2752000,1,1800078,"PUTNAM COUNTY",2.19,NA,NA
"11847","OLD PUEBLO CHILDREN'S ACADEMY","Arizona",NA,1,400283,"PIMA COUNTY",NA,NA,59
"11848","OLD REDFORD ACADEMY","Michigan",17985000,3,2600242,"WAYNE COUNTY",116,17.42,2021
"11849","OLD ROCHESTER","Massachusetts",18276000,2,2509150,"PLYMOUTH COUNTY",84.95,13.55,1151
"11850","OLD SAYBROOK SCHOOL DISTRICT","Connecticut",27067000,3,903180,"MIDDLESEX COUNTY",138.6,11.24,1558
"11851","OLD TAPPAN PUBLIC SCHOOL DISTRICT","New Jersey",14659000,2,3412180,"BERGEN COUNTY",63.1,12.2,770
"11852","OLDHAM - RAMONA SCHOOL DISTRICT 39-5","South Dakota",1871000,4,4601027,"LAKE COUNTY",17.52,7.93,139
"11853","OLDHAM COUNTY","Kentucky",118238000,26,2104530,"OLDHAM COUNTY",706.19,17.07,12053
"11854","OLDMANS TOWNSHIP","New Jersey",4968000,1,3412210,"SALEM COUNTY",17,13.41,228
"11855","OLEAN CITY SCHOOL DISTRICT","New York",40308000,6,3621720,"CATTARAUGUS COUNTY",185.63,12.31,2286
"11856","OLENTANGY LOCAL","Ohio",192485000,23,3904676,"DELAWARE COUNTY",878.68,18.99,16690
"11857","OLEY VALLEY SD","Pennsylvania",28342000,3,4218150,"BERKS COUNTY",140,13.12,1837
"11858","OLFEN ISD","Texas",980000,4,4833570,"RUNNELS COUNTY",7.78,7.2,56
"11859","OLIN CONSOLIDATED SCHOOL DISTRICT","Iowa",3331000,2,1921720,"JONES COUNTY",16.96,14.21,241
"11860","OLIVE","Oklahoma",3250000,2,4022860,"CREEK COUNTY",29,13.79,400
"11861","OLIVER-MERCER SPECIAL ED UNIT","North Dakota",1883000,1,3880300,"MERCER COUNTY",13,NA,NA
"11862","OLIVET COMMUNITY SCHOOLS","Michigan",14504000,3,2626370,"EATON COUNTY",88.71,17.57,1559
"11863","OLMSTED FALLS CITY","Ohio",44015000,5,3904657,"CUYAHOGA COUNTY",196.75,19.22,3782
"11864","OLNEY CHARTER HIGH SCHOOL","Pennsylvania",22174000,1,4200843,"PHILADELPHIA COUNTY",117,13.24,1549
"11865","OLNEY ISD","Texas",9467000,3,4833630,"YOUNG COUNTY",74.96,10.07,755
"11866","OLNEY-BISSELL ELEM","Montana",958000,2,3010950,"FLATHEAD COUNTY",10.01,9.39,94
"11867","OLTON ISD","Texas",9034000,3,4833660,"LAMB COUNTY",61.7,11.04,681
"11868","OLUSTEE","Oklahoma",1520000,2,4022920,"JACKSON COUNTY",15.4,10.52,162
"11869","OLYMPIA CUSD 16","Illinois",22262000,5,1729890,"MCLEAN COUNTY",119.5,16.23,1940
"11870","OLYMPIA SCHOOL DISTRICT","Washington",106196000,20,5306180,"THURSTON COUNTY",443.39,21.05,9332
"11871","OLYMPIC EDUCATIONAL SERVICE DISTRICT 114","Washington",14081000,2,5300007,"KITSAP COUNTY",4,11.5,46
"11872","OMAHA PUBLIC SCHOOLS","Nebraska",611657000,100,3174820,"DOUGLAS COUNTY",3326.96,15.13,50340
"11873","OMAHA SCHOOL DISTRICT","Arkansas",4841000,2,510920,"BOONE COUNTY",42.5,11.01,468
"11874","OMAK SCHOOL DISTRICT","Washington",24143000,8,5306220,"OKANOGAN COUNTY",132.79,20.23,2686
"11875","OMBUDSMAN EDUCATIONAL SERVICES  LTD  A SUBSIDIARY OF EDUCATI","Arizona",2199000,4,400811,"LAKE COUNTY",NA,NA,328
"11876","OMBUDSMAN EDUCATIONAL SERVICES  LTD. A SUBSIDIARY OF EDUCATI","Arizona",1984000,5,400103,"MARICOPA COUNTY",NA,NA,273
"11877","OMEGA ALPHA ACADEMY","Arizona",3537000,1,400284,"COCHISE COUNTY",NA,NA,460
"11878","OMEGA SCHOOLS D.B.A. OMEGA ACADEMY  INC.","Arizona",NA,6,400101,"MARICOPA COUNTY",NA,NA,329
"11879","OMRO SCHOOL DISTRICT","Wisconsin",15545000,4,5510980,"WINNEBAGO COUNTY",81.84,16.01,1310
"11880","ONAGA-HAVENSVILLE-WHEATON","Kansas",4010000,2,2010170,"POTTAWATOMIE COUNTY",35.7,9.36,334
"11881","ONALASKA ISD","Texas",9674000,2,4833690,"POLK COUNTY",66.32,14.38,954
"11882","ONALASKA SCHOOL DISTRICT","Wisconsin",34609000,6,5511010,"LA CROSSE COUNTY",206.27,14.52,2996
"11883","ONALASKA SCHOOL DISTRICT","Washington",8660000,5,5306240,"LEWIS COUNTY",42.52,20.39,867
"11884","ONAMIA PUBLIC SCHOOL DISTRICT","Minnesota",11675000,4,2725050,"MILLE LACS COUNTY",63.39,10,634
"11885","ONAWAY AREA COMMUNITY SCHOOL DISTRICT","Michigan",6727000,3,2626400,"PRESQUE ISLE COUNTY",39.5,16.63,657
"11886","ONEIDA","Tennessee",10714000,3,4703300,"SCOTT COUNTY",85.8,14.91,1279
"11887","ONEIDA CITY SCHOOL DISTRICT","New York",38767000,6,3600013,"MADISON COUNTY",171.14,13.43,2299
"11888","ONEIDA COUNTY DISTRICT","Idaho",6255000,5,1602490,"ONEIDA COUNTY",53.11,16.36,869
"11889","ONEIDA TOWNSHIP S/D #3","Michigan",117000,1,2626430,"EATON COUNTY",1,13,13
"11890","ONEIDA-HERKIMER-MADISON BOCES","New York",NA,1,3680560,"ONEIDA COUNTY",125.59,NA,NA
"11891","ONEKAMA CONSOLIDATED SCHOOLS","Michigan",5202000,2,2626490,"MANISTEE COUNTY",20.48,20.36,417
"11892","ONEONTA CITY","Alabama",12349000,2,102550,"BLOUNT COUNTY",84,17.81,1496
"11893","ONEONTA CITY SCHOOL DISTRICT","New York",35242000,6,3621780,"OTSEGO COUNTY",162.77,11.34,1845
"11894","ONION CREEK SCHOOL DISTRICT","Washington",921000,1,5306270,"STEVENS COUNTY",3.43,9.91,34
"11895","ONONDAGA CENTRAL SCHOOL DISTRICT","New York",19637000,3,3621810,"ONONDAGA COUNTY",71.3,13.52,964
"11896","ONONDAGA-CORTLAND-MADISON BOCES","New York",NA,1,3680580,"ONONDAGA COUNTY",192.24,NA,NA
"11897","ONSLOW COUNTY SCHOOLS","North Carolina",193181000,35,3703450,"ONSLOW COUNTY",1421.57,17.58,24989
"11898","ONSTED COMMUNITY SCHOOLS","Michigan",15317000,3,2626520,"LENAWEE COUNTY",75.55,20.4,1541
"11899","ONTARIO LOCAL","Ohio",18532000,4,3904947,"RICHLAND COUNTY",94.14,18.54,1745
"11900","ONTARIO SD 8C","Oregon",28630000,7,4109270,"MALHEUR COUNTY",133.25,18.44,2457
"11901","ONTARIO-MONTCLAIR","California",219443000,32,628470,"SAN BERNARDINO COUNTY",1019.88,22.13,22569
"11902","ONTARIO-SENECA-YATES-CAYUGA-WAYNE BOCES","New York",NA,1,3680600,"WAYNE COUNTY",189.32,NA,NA
"11903","ONTEORA CENTRAL SCHOOL DISTRICT","New York",49944000,5,3621840,"ULSTER COUNTY",140.71,10.32,1452
"11904","ONTONAGON AREA SCHOOL DISTRICT","Michigan",4828000,2,2626550,"ONTONAGON COUNTY",22.72,17.96,408
"11905","OOLOGAH-TALALA","Oklahoma",13982000,4,4023040,"ROGERS COUNTY",105.4,17.2,1813
"11906","OOSTBURG SCHOOL DISTRICT","Wisconsin",11593000,3,5511070,"SHEBOYGAN COUNTY",62.3,16.44,1024
"11907","OPDYKE-BELLE-RIVE CCSD 5","Illinois",1901000,2,1705570,"JEFFERSON COUNTY",12.89,14.04,181
"11908","OPELIKA CITY","Alabama",43841000,9,102580,"LEE COUNTY",328.33,12.83,4211
"11909","OPEN CLASSROOM","Utah",2316000,1,4900118,"SALT LAKE COUNTY",18.8,21.65,407
"11910","OPHEIM K-12 SCHOOLS","Montana",1277000,3,3019740,"VALLEY COUNTY",9.87,4.56,45
"11911","OPP CITY","Alabama",12513000,3,102610,"COVINGTON COUNTY",85.43,16.27,1390
"11912","OPPENHEIM-EPHRATAH CENTRAL SCHOOL DISTRICT","New York",8301000,1,3621870,"FULTON COUNTY",32.06,10.92,350
"11913","OPPORTUNITIES FOR YOUTH  INC.","Arizona",NA,1,400812,"MARICOPA COUNTY",NA,NA,40
"11914","OPPORTUNITY CHARTER SCHOOL","New York",NA,1,3600109,"NEW YORK COUNTY",43.01,9.86,424
"11915","OPTIMA","Oklahoma",7e+05,1,4023070,"TEXAS COUNTY",6.4,13.28,85
"11916","OPTIONS CHARTER SCH - NOBLESVILLE","Indiana",1415000,1,1800056,"HAMILTON COUNTY",8.79,17.06,150
"11917","OPTIONS CHARTER SCHOOL - CARMEL","Indiana",1143000,1,1800016,"HAMILTON COUNTY",7.7,20.52,158
"11918","OPTIONS PCS","District of Columbia",14965000,1,1100018,"DISTRICT OF COLUMBIA",66,5.47,361
"11919","ORACLE CHARTER SCHOOL","New York",NA,1,3600132,"ERIE COUNTY",32.21,10.25,330
"11920","ORACLE ELEMENTARY DISTRICT","Arizona",6930000,2,405640,"PINAL COUNTY",29,24.07,698
"11921","ORADELL SCHOOL DISTRICT","New Jersey",12387000,1,3412240,"BERGEN COUNTY",58.9,13.24,780
"11922","ORAN R-III","Missouri",3267000,2,2923130,"SCOTT COUNTY",28.07,13.07,367
"11923","ORANGE","Massachusetts",9817000,3,2509180,"FRANKLIN COUNTY",35.4,20.76,735
"11924","ORANGE","Florida",1827011000,249,1201440,"ORANGE COUNTY",11308,15.92,180000
"11925","ORANGE BOARD OF EDUCATION","New Jersey",105632000,11,3412270,"ESSEX COUNTY",436.5,10.58,4618
"11926","ORANGE CENTER","California",3144000,2,628530,"FRESNO COUNTY",14,24.14,338
"11927","ORANGE CHARTER","North Carolina",2100000,1,3700035,"ORANGE COUNTY",21.9,9.91,217
"11928","ORANGE CITY","Ohio",54894000,4,3910016,"CUYAHOGA COUNTY",162.56,13.75,2235
"11929","ORANGE CO PBLC SCHS","Virginia",46746000,11,5102820,"ORANGE COUNTY",353.3,14.83,5239
"11930","ORANGE COUNTY DEPARTMENT OF EDUCATION","California",263289000,4,691024,"ORANGE COUNTY",324.9,23.4,7602
"11931","ORANGE COUNTY SCHOOLS","North Carolina",78877000,13,3703480,"ORANGE COUNTY",529.21,14.28,7556
"11932","ORANGE EAST SUPERVISORY UNION","Vermont",3438000,NA,5099927,"ORANGE COUNTY",5.65,NA,NA
"11933","ORANGE GROVE ISD","Texas",17197000,5,4833720,"JIM WELLS COUNTY",121.68,14.91,1814
"11934","ORANGE NORTH SUPERVISORY UNION","Vermont",1956000,NA,5099929,"ORANGE COUNTY",0,NA,NA
"11935","ORANGE SCHOOL DISTRICT","Vermont",2602000,1,5006210,"ORANGE COUNTY",8.9,16.52,147
"11936","ORANGE SCHOOL DISTRICT","Connecticut",21929000,4,903210,"NEW HAVEN COUNTY",107.18,11.85,1270
